1 0 2.5593788226328105 	 reissue
1 1 2.500838272490564 	 music
1 2 2.3147848474435646 	 gorgeous
1 3 2.304489163045251 	 wa
1 4 2.1038511351507014 	 beautiful
1 5 1.9481974561767326 	 hart
1 6 1.9272517219024268 	 perfect
1 7 1.7927267126511652 	 vinyl
1 8 1.7893442180113794 	 flow
1 9 1.7671657797008347 	 striking
1 10 1.7416327613569687 	 impressive
1 11 1.7340665232901913 	 perfectly
1 12 1.706808760245957 	 excellent
1 13 1.685568587102846 	 people
1 14 1.6531697668508367 	 remarkably
1 15 1.6007623681906324 	 secret
1 16 1.5739900427228715 	 year
1 17 1.547282322697888 	 capture
1 18 1.5362315030374287 	 today
1 19 1.5138580498811303 	 guitar
1 20 1.5054439461874323 	 pure
1 21 1.4985443601536443 	 devastating
1 22 1.4846610922901367 	 battle
1 23 1.4821478804277934 	 black
1 24 1.4645321444875843 	 v
1 25 1.4516081993741283 	 beautifully
1 26 1.4454868079719456 	 sublime
1 27 1.4429474367127195 	 calm
1 28 1.4411628336712432 	 finally
1 29 1.418780883614684 	 sonic
1 30 1.4147392081869445 	 month
1 31 1.4133451424768633 	 classic
1 32 1.4116358622764362 	 gently
1 33 1.4102663913245852 	 violin
1 34 1.4080864995516122 	 picture
1 35 1.4062757050517931 	 deep
1 36 1.4060268317034603 	 gibbs
1 37 1.4054443035040831 	 street
1 38 1.3992488472534685 	 techno
1 39 1.3920323212430958 	 moving
1 40 1.3823488277207596 	 accessible
1 41 1.3813638026712787 	 simple
1 42 1.3776135881305227 	 gut
1 43 1.3774320084340026 	 express
1 44 1.3724633368332484 	 jazz
1 45 1.36409668399973 	 scene
1 46 1.36012279619048 	 stunning
1 47 1.3595016334230645 	 talk
1 48 1.3522591718376087 	 horn
1 49 1.3507966208558693 	 force
1 50 1.3457759281265416 	 veirs
1 51 1.3453253689043532 	 martinez
1 52 1.3332169284863193 	 layered
1 53 1.3295028689486983 	 father
1 54 1.329125191838356 	 date
1 55 1.327742532945344 	 singular
1 56 1.3219689922089566 	 anxiety
1 57 1.3218906386184015 	 final
1 58 1.3204998591455681 	 visceral
1 59 1.3182245639885697 	 subtle
1 60 1.3169161429999061 	 beauty
1 61 1.3166837721411233 	 testament
1 62 1.3132668427343221 	 masterpiece
1 63 1.3107432933060212 	 edition
1 64 1.2960859049332232 	 hear
1 65 1.295650071070768 	 american
1 66 1.2832313209588688 	 folk music
1 67 1.2701232322208371 	 world
1 68 1.2689795112211706 	 word
1 69 1.2664784553327555 	 burma
1 70 1.2661355966192684 	 turn
1 71 1.2624834377870016 	 record
1 72 1.2596617662946834 	 organ
1 73 1.2582472657758634 	 powerful
1 74 1.2513944524640213 	 jeck
1 75 1.2512501882546148 	 molina
1 76 1.245880576259228 	 footwork
1 77 1.2438913252404304 	 open
1 78 1.2392102240913316 	 liner
1 79 1.2287184678319207 	 know
1 80 1.2248746879067773 	 clarity
1 81 1.2245036001283238 	 grande
1 82 1.2224265987140948 	 remarkable
1 83 1.220852628295095 	 body
1 84 1.2151972839420135 	 trumpet
1 85 1.214224306760686 	 segall
1 86 1.2032442394637666 	 way
1 87 1.2012489340954677 	 barnett
1 88 1.2005772372874424 	 friend
1 89 1.1967431358568346 	 later
1 90 1.1907960089581713 	 snake
1 91 1.1905474353485515 	 breadth
1 92 1.1877878653887388 	 electronic music
1 93 1.1847471422392148 	 palmer
1 94 1.182724115508034 	 seamlessly
1 95 1.1764613611351329 	 glorious
1 96 1.1764269987870228 	 cruel
1 97 1.1718087087287374 	 tender
1 98 1.1714397934241312 	 make
1 99 1.1710174198668961 	 describes
1 100 1.1665657054317962 	 joyous
1 101 1.1657806800125945 	 complicated
1 102 1.164645390040333 	 swan
1 103 1.1640393013232677 	 wait
1 104 1.1623595270192517 	 sick
1 105 1.1604335470509497 	 immediately
1 106 1.157970350568021 	 alive
1 107 1.1551137352163678 	 h
1 108 1.1518054502888724 	 refrain
1 109 1.14602999749302 	 underground
1 110 1.142089689318673 	 frequency
1 111 1.1403843449445215 	 delicate
1 112 1.1391129956996808 	 tough
1 113 1.1389294607961074 	 string
1 114 1.1380041939097831 	 dupuis
1 115 1.1378031191249753 	 layer
1 116 1.133282728528164 	 bass
1 117 1.1322536113275639 	 day
1 118 1.130483004605003 	 krug
1 119 1.1290164813327745 	 vicious
1 120 1.126128294539201 	 burial
1 121 1.1257904435015182 	 smart
1 122 1.1199080932152934 	 initially
1 123 1.115750842268623 	 important
1 124 1.115092843353711 	 noisy
1 125 1.114264226042022 	 country
1 126 1.1139768154576362 	 bank
1 127 1.1111253488873651 	 fuck
1 128 1.109853639472339 	 bassist
1 129 1.1069166713371907 	 mesmerizing
1 130 1.1045591713610539 	 mirah
1 131 1.104280503528961 	 longstreth
1 132 1.1018555987841576 	 deceptively
1 133 1.0988511235539389 	 set
1 134 1.0968124853787289 	 continually
1 135 1.096643333901603 	 drone
1 136 1.0951219166863793 	 intense
1 137 1.0950093334793394 	 malkmus
1 138 1.0948699350251756 	 epic
1 139 1.0941216430081278 	 disc
1 140 1.0911366516184275 	 melody
1 141 1.0907491640865337 	 chasny
1 142 1.0843420251077496 	 space
1 143 1.0820498793758537 	 movement
1 144 1.081795939206056 	 murphy
1 145 1.0809726982477572 	 generation
1 146 1.0793432023756604 	 previously
1 147 1.0790752441174196 	 woman
1 148 1.078786185000486 	 triumphant
1 149 1.0780674981460465 	 blake
1 150 1.077908336829869 	 tale
1 151 1.0778561368229864 	 liner note
1 152 1.0765796208449054 	 doom
1 153 1.0747429385358291 	 milo
1 154 1.0733536183772088 	 buckner
1 155 1.0715909441970657 	 maus
1 156 1.071306657587424 	 hugely
1 157 1.0708328170785029 	 confident
1 158 1.0648581820596066 	 crowd
1 159 1.0642234617526751 	 element
1 160 1.061721751506478 	 balance
1 161 1.0596506139052164 	 vivid
1 162 1.0592881585657263 	 dfa
1 163 1.0592279136975091 	 gradually
1 164 1.0584685521764048 	 pajo
1 165 1.0564181229538132 	 flesh
1 166 1.0548903637199685 	 reference
1 167 1.0544731203638802 	 noise
1 168 1.054344497453767 	 m
1 169 1.0541310251446787 	 drop
1 170 1.0531957148953839 	 genre
1 171 1.0516317767749312 	 huge
1 172 1.0514952077411086 	 controlled
